school_name,division,city_state,type,conference,athletics_domain,status
Goshen College,NAIA,"Goshen,Indiana",Private,Crossroads League,goleafs.net,FOUND
Governors State University,NAIA,"University Park,Illinois",Public,Chicagoland Collegiate Athletic Conference,gsujaguars.com,FOUND
Grace College,NAIA,"Winona Lake,Indiana",Private,Crossroads League,grace.edu,FOUND
Graceland University,NAIA,"Lamoni,Iowa",Private,Heart of America Athletic Conference,graceland.edu,FOUND
Grand View University,NAIA,"Des Moines,Iowa",Private,Heart of America Athletic Conference,gvvikings.com,FOUND
Hannibal-LaGrange University,NAIA,"Hannibal,Missouri",Private,American Midwest Conference,hlgtrojans.com,FOUND
Harris-Stowe State University,NAIA,"Saint Louis,Missouri",Public,American Midwest Conference,hornetsathletics.com,FOUND
Haskell Indian Nations University,NAIA,"Lawrence,Kansas",Public,Continental Athletic Conference,haskellathletics.com,FOUND
Hastings College,NAIA,"Hastings,Nebraska",Private,Great Plains Athletic Conference,hastingsbroncos.com,FOUND
Hope International University,NAIA,"Fullerton,California",Private,Great Southwest Athletic Conference,hiuroyals.com,FOUND
Huntington University,NAIA,"Huntington,Indiana",Private,Crossroads League,huathletics.com,FOUND
Huston-Tillotson University,NAIA,"Austin,Texas",Private,Red River Athletic Conference,htramsathletics.com,FOUND
Indiana Tech,NAIA,"Fort Wayne,Indiana",Private,Wolverine-Hoosier Athletic Conference,indianatechwarriors.com,FOUND
Indiana University – Columbus,NAIA,"Columbus,Indiana",Public,River States Conference,iuhoosiers.com,FOUND
Indiana University – East,NAIA,"Richmond,Indiana",Public,River States Conference,iuhoosiers.com,FOUND
Indiana University – Kokomo,NAIA,"Kokomo,Indiana",Public,River States Conference,iuhoosiers.com,FOUND
Indiana University – Northwest,NAIA,"Gary,Indiana",Public,Chicagoland Collegiate Athletic Conference,iuhoosiers.com,FOUND
Indiana University – South Bend,NAIA,"South Bend,Indiana",Public,Chicagoland Collegiate Athletic Conference,iuhoosiers.com,FOUND
Indiana University – Southeast,NAIA,"New Albany,Indiana",Public,River States Conference,iuhoosiers.com,FOUND
Indiana Wesleyan University,NAIA,"Marion,Indiana",Private,Crossroads League,iwuwildcats.com,FOUND
Jarvis Christian University,NAIA,"Hawkins,Texas",Private,Red River Athletic Conference,jcubulldogs.com,FOUND
John Brown University,NAIA,"Siloam Springs,Arkansas",Private,Sooner Athletic Conference,jbuathletics.com,FOUND
Johnson University,NAIA,"Knoxville,Tennessee",Private,Appalachian Athletic Conference (AAC),johnsonu.edu,FOUND
Judson University,NAIA,"Elgin,Illinois",Private,Chicagoland Collegiate Athletic Conference,judsoneagles.com,FOUND
Kansas Wesleyan University,NAIA,"Salina,Kansas",Private,Great Plains Athletic Conference,kwucoyotes.com,FOUND
Keiser University,NAIA,"West Palm Beach,Florida",Public,The Sun Conference,kuseahawks.com,FOUND
Kentucky Christian University,NAIA,"Grayson,Kentucky",Private,Appalachian Athletic Conference,kcuknights.com,FOUND
