school_name,division,city_state,type,conference,athletics_domain,status
Dartmouth College,NCAA D1,"Hanover,New Hampshire",Private,Ivy League,dartmouthsports.com,FOUND
Davidson College,NCAA D1,"Davidson,North Carolina",Private,Atlantic 10 Conference,davidsonwildcats.com,FOUND
DePaul University,NCAA D1,"Chicago,Illinois",Private,Big East Conference,depaulbluedemons.com,FOUND
Delaware State University,NCAA D1,"Dover,Delaware",Public,Mid-Eastern Athletic Conference,dsuhornets.com,FOUND
Drake University,NCAA D1,"Des Moines,Iowa",Private,Missouri Valley Conference,godrakebulldogs.com,FOUND
Duke University,NCAA D1,"Durham,North Carolina",Private,Atlantic Coast Conference,goduke.com,FOUND
Duquesne University,NCAA D1,"Pittsburgh,Pennsylvania",Private,Atlantic 10 Conference,goduquesne.com,FOUND
East Carolina University,NCAA D1,"Greenville,North Carolina",Public,American Athletic Conference,ecupirates.com,FOUND
East Tennessee State University,NCAA D1,"Johnson City,Tennessee",Public,Southern Conference,etsubucs.com,FOUND
Eastern Illinois University,NCAA D1,"Charleston,Illinois",Public,Ohio Valley Conference,eiupanthers.com,FOUND
Eastern Kentucky University,NCAA D1,"Richmond,Kentucky",Public,Atlantic Sun Conference,ekusports.com,FOUND
Eastern Michigan University,NCAA D1,"Ypsilanti,Michigan",Public,Mid-American Conference,emueagles.com,FOUND
Eastern Washington University,NCAA D1,"Cheney,Washington",Public,Big Sky Conference,goeags.com,FOUND
Elon University,NCAA D1,"Elon,North Carolina",Private,Colonial Athletic Association,elonphoenix.com,FOUND
Fairfield University,NCAA D1,"Fairfield,Connecticut",Private,Metro Atlantic Athletic Conference,fairfieldstags.com,FOUND
Fairleigh Dickinson University,NCAA D1,"Teaneck,New Jersey",Private,Northeast Conference,fdudevils.com,FOUND
Florida A&M University,NCAA D1,"Tallahassee,Florida",Public,Southwestern Athletic Conference,famuathletics.com,FOUND
Florida Atlantic University,NCAA D1,"Boca Raton,Florida",Public,American Athletic Conference,fausports.com,FOUND
Florida Gulf Coast University,NCAA D1,"Fort Myers,Florida",Public,Atlantic Sun Conference,goargos.com,FOUND
Florida International University,NCAA D1,"Miami,Florida",Public,Conference USA,nsusharks.com,FOUND
Florida State University,NCAA D1,"Tallahassee,Florida",Public,Atlantic Coast Conference,seminoles.com,FOUND
Fordham University,NCAA D1,"Bronx,New York",Private,Atlantic 10 Conference,fordhamsports.com,FOUND
Formerly Dixie State University,NCAA D1,"Saint George,Utah",Public,Western Athletic Conference,,NOT_FOUND
Furman University,NCAA D1,"Greenville,South Carolina",Private,Southern Conference,furmanpaladins.com,FOUND
Gardner-Webb University,NCAA D1,"Boiling Springs,North Carolina",Private,Big South Conference,gwusports.com,FOUND
George Mason University,NCAA D1,"Fairfax,Virginia",Public,Atlantic 10 Conference,gomason.com,FOUND
George Washington University,NCAA D1,"Washington,District Of Columbia",Private,Atlantic 10 Conference,gwsports.com,FOUND
Georgetown University,NCAA D1,"Washington,District Of Columbia",Private,Patriot League,georgetowncollegeathletics.com,FOUND
Georgia Southern University,NCAA D1,"Statesboro,Georgia",Public,Sun Belt Conference,gseagles.com,FOUND
Georgia State University,NCAA D1,"Atlanta,Georgia",Public,Sun Belt Conference,georgiastatesports.com,FOUND
Georgia Tech,NCAA D1,"Atlanta,Georgia",Public,Atlantic Coast Conference,ramblinwreck.com,FOUND
Gonzaga University,NCAA D1,"Spokane,Washington",Private,West Coast Conference,gozags.com,FOUND
Grambling State University,NCAA D1,"Grambling,Louisiana",Public,Southwestern Athletic Conference,gsutigers.com,FOUND
Grand Canyon University,NCAA D1,"Phoenix,Arizona",Private,Western Athletic Conference,gculopes.com,FOUND
Hampton University,NCAA D1,"Hampton,Virginia",Private,Coastal Althletic Conference,hamptonpirates.com,FOUND
Harvard University,NCAA D1,"Cambridge,Massachusetts",Private,Ivy League,gocrimson.com,FOUND
High Point University,NCAA D1,"High Point,North Carolina",Private,Big South Conference,highpointpanthers.com,FOUND
Hofstra University,NCAA D1,"Hempstead,New York",Private,Colonial Athletic Association,gohofstra.com,FOUND
Houston Christian University,NCAA D1,"Houston,Texas",Private,Southland Conference,hcuhuskies.com,FOUND
Howard University,NCAA D1,"Washington,District Of Columbia",Private,Mid-Eastern Athletic Conference,hubison.com,FOUND
Idaho State University,NCAA D1,"Pocatello,Idaho",Public,Big Sky Conference,isubengals.com,FOUND
Illinois State University,NCAA D1,"Normal,Illinois",Public,Missouri Valley Conference,goredbirds.com,FOUND
Indiana State University,NCAA D1,"Terre Haute,Indiana",Public,Missouri Valley Football Conference,gosycamores.com,FOUND
Indiana University,NCAA D1,"Bloomington,Indiana",Public,Big Ten,iuhoosiers.com,FOUND
Indiana University-Purdue University – Indianapolis (IUPUI),NCAA D1,"Indianapolis,Indiana",Public,Horizon League,purduesports.com,FOUND
Iona University,NCAA D1,"New Rochelle,New York",Private,Metro Atlantic Athletic Conference,ionagaels.com,FOUND
Iowa State University,NCAA D1,"Ames,Iowa",Public,Big 12 Conference,cyclones.com,FOUND
Jackson State University,NCAA D1,"Jackson,Mississippi",Public,Southwestern Athletic Conference,gojsutigers.com,FOUND
Jacksonville State University,NCAA D1,"Jacksonville,Alabama",Public,Conference USA,jaxstatesports.com,FOUND
Jacksonville University,NCAA D1,"Jacksonville,Florida",Private,Atlantic Sun Conference,judolphins.com,FOUND
James Madison University,NCAA D1,"Harrisonburg,Virginia",Public,Sun Belt Conference,jmusports.com,FOUND
Kansas State University,NCAA D1,"Manhattan,Kansas",Public,Big 12 Conference,kstatesports.com,FOUND
Kennesaw State University,NCAA D1,"Kennesaw,Georgia",Public,Conference USA,kennesaw.edu,FOUND
Kent State University,NCAA D1,"Kent,Ohio",Public,Mid-American Conference,kentstatesports.com,FOUND
Lafayette College,NCAA D1,"Easton,Pennsylvania",Private,Patriot League,goleopards.com,FOUND
Lamar University,NCAA D1,"Beaumont,Texas",Public,Southland Conference,lamarcardinals.com,FOUND
Le Moyne College,NCAA D1,"Syracuse,New York",Private,Northeast Conference,lemoynedolphins.com,FOUND
Lehigh University,NCAA D1,"Bethlehem,Pennsylvania",Private,Patriot League,lehighsports.com,FOUND
Liberty University,NCAA D1,"Lynchburg,Virginia",Private,Conference USA,libertyflames.com,FOUND
Lindenwood University,NCAA D1,"Saint Charles,Missouri",Private,Ohio Valley Conference,lindenwoodlions.com,FOUND
Lipscomb University,NCAA D1,"Nashville,Tennessee",Private,Atlantic Sun Conference,lipscombsports.com,FOUND
Long Island University,NCAA D1,"Long Island,New York",Private,Northeast Conference,liuathletics.com,FOUND
Louisiana State University (LSU),NCAA D1,"Baton Rouge,Louisiana",Public,Southeastern Conference,lsuagenerals.com,FOUND
Louisiana Tech University,NCAA D1,"Ruston,Louisiana",Public,Conference USA,latechsports.com,FOUND
Loyola Marymount University,NCAA D1,"Los Angeles,California",Private,West Coast Conference,lmulions.com,FOUND
Loyola University Chicago,NCAA D1,"Chicago,Illinois",Private,Atlantic 10 Conference,loyolaramblers.com,FOUND
Loyola University Maryland,NCAA D1,"Baltimore,Maryland",Private,Patriot League,loyolagreyhounds.com,FOUND
Manhattan University,NCAA D1,"Riverdale,New York",Private,Metro Atlantic Athletic Conference,gojaspers.com,FOUND
Marist College,NCAA D1,"Poughkeepsie,New York",Private,Metro Atlantic Athletic Conference,goredfoxes.com,FOUND
Marquette University,NCAA D1,"Milwaukee,Wisconsin",Private,Big East Conference,gomarquette.com,FOUND
Marshall University,NCAA D1,"Huntington,West Virginia",Public,Sun Belt Conference,herdzone.com,FOUND
McNeese State University,NCAA D1,"Lake Charles,Louisiana",Public,Southland Conference,mcneesesports.com,FOUND
Mercer University,NCAA D1,"Macon,Georgia",Private,Southern Conference,mercerbears.com,FOUND
Mercyhurst University,NCAA D1,"Erie,Pennsylvania",Private,Northeast Conference,hurstathletics.com,FOUND
Merrimack College,NCAA D1,"North Andover,Massachusetts",Private,Metro Atlantic Athletic Conference,merrimackathletics.com,FOUND
Miami University,NCAA D1,"Oxford,Ohio",Public,Mid-American Conference,miamiredhawks.com,FOUND
Michigan State University,NCAA D1,"East Lansing,Michigan",Public,Big Ten,msuspartans.com,FOUND
Middle Tennessee State University,NCAA D1,"Murfreesboro,Tennessee",Public,Conference USA,goblueraiders.com,FOUND
Mississippi State University,NCAA D1,"Mississippi State,Mississippi",Public,Southeastern Conference,hailstate.com,FOUND
Mississippi Valley State University,NCAA D1,"Itta Bena,Mississippi",Public,Southwestern Athletic Conference,mvsusports.com,FOUND
Missouri State University,NCAA D1,"Springfield,Missouri",Public,Missouri Valley Conference,missouristatebears.com,FOUND
Montana State University,NCAA D1,"Bozeman,Montana",Public,Big Sky Conference,msubobcats.com,FOUND
Morehead State University,NCAA D1,"Morehead,Kentucky",Public,Ohio Valley Conference,msueagles.com,FOUND
Morgan State University,NCAA D1,"Baltimore,Maryland",Public,Mid-Eastern Athletic Conference,morganstatebears.com,FOUND
Murray State University,NCAA D1,"Murray,Kentucky",Public,Missouri Valley Conference,goracers.com,FOUND
New Jersey Institute of Technology,NCAA D1,"Newark,New Jersey",Public,American East Conference,njithighlanders.com,FOUND
New Mexico State University,NCAA D1,"Las Cruces,New Mexico",Public,Conference USA,nmstatesports.com,FOUND
Niagara University,NCAA D1,"Niagara University,New York",Private,Metro Atlantic Athletic Conference,purpleeagles.com,FOUND
Nicholls State University,NCAA D1,"Thibodaux,Louisiana",Public,Southland Conference,geauxcolonels.com,FOUND
Norfolk State University,NCAA D1,"Norfolk,Virginia",Public,Mid-Eastern Athletic Conference,nsuspartans.com,FOUND
North Carolina A&T State University,NCAA D1,"Greensboro,North Carolina",Public,Colonial Athletic Association,ncataggies.com,FOUND
North Carolina Central University,NCAA D1,"Durham,North Carolina",Public,Mid-Eastern Athletic Conference,nccueaglepride.com,FOUND
North Carolina State University,NCAA D1,"Raleigh,North Carolina",Public,Atlantic Coast Conference,goheels.com,FOUND
North Dakota State University,NCAA D1,"Fargo,North Dakota",Public,The Summit League,gojacks.com,FOUND
Northeastern University,NCAA D1,"Boston,Massachusetts",Private,Colonial Athletic Association,nuhuskies.com,FOUND
Northern Arizona University,NCAA D1,"Flagstaff,Arizona",Public,Big Sky Conference,nauathletics.com,FOUND
Northern Illinois University,NCAA D1,"Dekalb,Illinois",Public,Mid-American Conference,siusalukis.com,FOUND
Northern Kentucky University,NCAA D1,"Highland Heights,Kentucky",Public,Horizon League,nkunorse.com,FOUND
Northwestern State University of Louisiana,NCAA D1,"Natchitoches,Louisiana",Public,Southland Conference,nsudemons.com,FOUND
Northwestern University,NCAA D1,"Evanston,Illinois",Private,Big Ten,nusports.com,FOUND
Oakland University,NCAA D1,"Rochester Hills,Michigan",Public,Horizon League,goldengrizzlies.com,FOUND
Ohio State University,NCAA D1,"Columbus,Ohio",Public,Big Ten,ohiostatebuckeyes.com,FOUND
Ohio University,NCAA D1,"Athens,Ohio",Public,Mid-American Conference,ohiobobcats.com,FOUND
Old Dominion University,NCAA D1,"Norfolk,Virginia",Public,Sun Belt Conference,odusports.com,FOUND
Oral Roberts University,NCAA D1,"Tulsa,Oklahoma",Private,The Summit League,oruathletics.com,FOUND
Oregon State University,NCAA D1,"Corvallis,Oregon",Public,West Coast Conference,osubeavers.com,FOUND
Penn State,NCAA D1,"University Park,Pennsylvania",Public,Big Ten,gopsusports.com,FOUND
Pepperdine University,NCAA D1,"Malibu,California",Private,West Coast Conference,pepperdinewaves.com,FOUND
Portland State University,NCAA D1,"Portland,Oregon",Public,Big Sky Conference,portlandpilots.com,FOUND
Prairie View A & M University,NCAA D1,"Prairie View,Texas",Public,Southwestern Athletic Conference,pvpanthers.com,FOUND
Presbyterian College,NCAA D1,"Clinton,South Carolina",Private,Big South Conference,gobluehose.com,FOUND
Princeton University,NCAA D1,"Princeton,New Jersey",Private,Ivy League,goprincetontigers.com,FOUND
Providence College,NCAA D1,"Providence,Rhode Island",Private,Big East Conference,friars.com,FOUND
Purdue University,NCAA D1,"West Lafayette,Indiana",Public,Big Ten,purduesports.com,FOUND
Purdue University – Fort Wayne,NCAA D1,"Fort Wayne,Indiana",Public,Horizon League,purduesports.com,FOUND
Queens University of Charlotte,NCAA D1,"Charlotte,North Carolina",Private,Atlantic Sun Conference,queensathletics.com,FOUND
Quinnipiac University,NCAA D1,"Hamden,Connecticut",Private,Metro Atlantic Athletic Conference,gobobcats.com,FOUND
Radford University,NCAA D1,"Radford,Virginia",Public,Big South Conference,radfordathletics.com,FOUND
Rice University,NCAA D1,"Houston,Texas",Private,American Athletic Conference,riceowls.com,FOUND
Rider University,NCAA D1,"Lawrenceville,New Jersey",Private,Metro Atlantic Athletic Conference,gobroncs.com,FOUND
Robert Morris University – Pennsylvania,NCAA D1,"Moon Township,Pennsylvania",Private,Northeast Conference,rmucolonials.com,FOUND
Rutgers University,NCAA D1,"Piscataway,New Jersey",Public,Big Ten,scarletknights.com,FOUND
SUNY Binghamton University,NCAA D1,"Vestal,New York",Public,America East Conference,binghamtonbearcats.com,FOUND
SUNY Stony Brook University,NCAA D1,"Stony Brook,New York",Public,Colonial Athletic Association,stonybrookathletics.com,FOUND
SUNY University at Albany,NCAA D1,"Albany,New York",Public,American East Conference,ualbanysports.com,FOUND
SUNY University at Buffalo,NCAA D1,"Buffalo,New York",Public,Mid-American Conference,buffalostateathletics.com,FOUND
Sacred Heart University,NCAA D1,"Fairfield,Connecticut",Private,Metro Atlantic Athletic Conference,sacredheartpioneers.com,FOUND
Saint Francis University,NCAA D1,"Loretto,Pennsylvania",Private,Northeast Conference,sfuathletics.com,FOUND
Saint Louis University,NCAA D1,"St. Louis,Missouri",Private,Atlantic 10 Conference,slubillikens.com,FOUND
Saint Mary's College of California,NCAA D1,"Moraga,California",Private,West Coast Conference,smcgaels.com,FOUND
Saint Peter's University,NCAA D1,"Jersey City,New Jersey",Private,Metro Atlantic Athletic Conference,saintpeterspeacocks.com,FOUND
Sam Houston State University,NCAA D1,"Huntsville,Texas",Public,Conference USA,gobearkats.com,FOUND
Samford University,NCAA D1,"Birmingham,Alabama",Private,Southern Conference,samfordsports.com,FOUND
San Diego State University,NCAA D1,"San Diego,California",Public,Mountain West Conference,goaztecs.com,FOUND
San Jose State University,NCAA D1,"San Jose,California",Public,Mountain West Conference,sjsuspartans.com,FOUND
Santa Clara University,NCAA D1,"Santa Clara,California",Private,West Coast Conference,santaclarabroncos.com,FOUND
Seattle University,NCAA D1,"Seattle,Washington",Private,Western Athletic Conference,,NOT_FOUND
Seton Hall University,NCAA D1,"South Orange,New Jersey",Private,Big East Conference,shupirates.com,FOUND
Siena College,NCAA D1,"Loudonville,New York",Private,Metro Atlantic Athletic Conference,sienasaints.com,FOUND
South Carolina State University,NCAA D1,"Orangeburg,South Carolina",Public,Mid-Eastern Athletic Conference,scsuathletics.com,FOUND
South Dakota State University,NCAA D1,"Brookings,South Dakota",Public,The Summit League,gojacks.com,FOUND
Southeast Missouri State University,NCAA D1,"Cape Girardeau,Missouri",Public,Ohio Valley Conference,semoredhawks.com,FOUND
Southeastern Louisiana University,NCAA D1,"Hammond,Louisiana",Public,Southland Conference,lionsports.net,FOUND
Southern Illinois University Carbondale,NCAA D1,"Carbondale,Illinois",Public,Missouri Valley Conference,siusalukis.com,FOUND
Southern Illinois University Edwardsville,NCAA D1,"Edwardsville,Illinois",Public,Ohio Valley Conference,siusalukis.com,FOUND
Southern Methodist University – SMU,NCAA D1,"Dallas,Texas",Private,Alantic Coast Coference,mumonarchs.com,FOUND
Southern University & A&M College,NCAA D1,"Baton Rouge,Louisiana",Public,Southwestern Athletic Conference,,NOT_FOUND
Southern Utah University,NCAA D1,"Cedar City,Utah",Public,Big Sky Conference,suutbirds.com,FOUND
St. John's University – New York,NCAA D1,"Queens,New York",Private,Big East Conference,redstormsports.com,FOUND
Stanford University,NCAA D1,"Stanford,California",Private,Atlantic Coast Conference,gostanford.com,FOUND
Stephen F Austin State University,NCAA D1,"Nacogdoches,Texas",Public,Southland Conference,sfajacks.com,FOUND
Stetson University,NCAA D1,"Deland,Florida",Private,Atlantic Sun Conference,gohatters.com,FOUND
Stonehill College,NCAA D1,"Easton,Massachusetts",Private,Northeast Conference,stonehillskyhawks.com,FOUND
Syracuse University,NCAA D1,"Syracuse,New York",Private,Atlantic Coast Conference,cuse.com,FOUND
Tarleton State University,NCAA D1,"Stephenville,Texas",Public,Western Athletic Conference,tarletonsports.com,FOUND
Temple University,NCAA D1,"Philadelphia,Pennsylvania",Public,American Athletic Conference,owlsports.com,FOUND
Tennessee State University,NCAA D1,"Nashville,Tennessee",Public,Ohio Valley Conference,tsutigers.com,FOUND
Tennessee Technological University,NCAA D1,"Cookeville,Tennessee",Public,Ohio Valley Conference,ttusports.com,FOUND
Texas A&M University,NCAA D1,"College Station,Texas",Public,Southeastern Conference,12thman.com,FOUND
Texas A&M University – Commerce,NCAA D1,"Commerce,Texas",Public,Southland Conference,12thman.com,FOUND
Texas A&M University – Corpus Christi,NCAA D1,"Corpus Christi,Texas",Public,Southland Conference,12thman.com,FOUND
Texas Christian University,NCAA D1,"Fort Worth,Texas",Private,Big 12 Conference,acusports.com,FOUND
Texas Southern University,NCAA D1,"Houston,Texas",Public,Southwestern Athletic Conference,tsusports.com,FOUND
Texas State University,NCAA D1,"San Marcos,Texas",Public,Sun Belt Conference,txst.com,FOUND
Texas Tech University,NCAA D1,"Lubbock,Texas",Public,Big 12 Conference,texastech.com,FOUND
The Citadel,NCAA D1,"Charleston,South Carolina",Public,Southern Conference,citadelsports.com,FOUND
Towson University,NCAA D1,"Towson,Maryland",Public,Colonial Athletic Association,towsontigers.com,FOUND
Troy University,NCAA D1,"Troy,Alabama",Public,Sun Belt Conference,troytrojans.com,FOUND
Tulane University,NCAA D1,"New Orleans,Louisiana",Private,American Athletic Conference,tulanegreenwave.com,FOUND
United States Air Force Academy,NCAA D1,"Usaf Academy,Colorado",Public,Mountain West Conference,goairforcefalcons.com,FOUND
United States Military Academy,NCAA D1,"West Point,New York",Public,American Athletic Conference,navysports.com,FOUND
United States Naval Academy,NCAA D1,"Annapolis,Maryland",Public,American Athletic Conference,navysports.com,FOUND
University of Akron,NCAA D1,"Akron,Ohio",Public,Mid-American Conference,gozips.com,FOUND
University of Alabama,NCAA D1,"Tuscaloosa,Alabama",Public,Southeastern Conference,rolltide.com,FOUND
University of Alabama – Birmingham,NCAA D1,"Birmingham,Alabama",Public,American Athletic Conference,rolltide.com,FOUND
University of Arizona,NCAA D1,"Tucson,Arizona",Public,Big 12 Conference,arizonawildcats.com,FOUND
University of Arkansas,NCAA D1,"Fayetteville,Arkansas",Public,Southeastern Conference,arkansasrazorbacks.com,FOUND
University of Arkansas at Little Rock,NCAA D1,"Little Rock,Arkansas",Public,Ohio Valley Conference,lrtrojans.com,FOUND
University of Arkansas at Pine Bluff,NCAA D1,"Pine Bluff,Arkansas",Public,Southwestern Athletic Conference,uapblionsroar.com,FOUND
University of California – Berkeley,NCAA D1,"Berkeley,California",Public,Atlantic Coast Conference,calbears.com,FOUND
University of California – Davis,NCAA D1,"Davis,California",Public,Big Sky Conference,calbears.com,FOUND
University of California – Irvine,NCAA D1,"Irvine,California",Public,Big West Conference,calbears.com,FOUND
University of California – Los Angeles – UCLA,NCAA D1,"Los Angeles,California",Public,Big Ten,calbears.com,FOUND
University of California – Riverside,NCAA D1,"Riverside,California",Public,Big West Conference,calbears.com,FOUND
University of California – San Diego,NCAA D1,"La Jolla,California",Public,Big West Conference,calbears.com,FOUND
University of California – Santa Barbara,NCAA D1,"Santa Barbara,California",Public,Big West Conference,calbears.com,FOUND
University of Central Arkansas,NCAA D1,"Conway,Arkansas",Public,Atlantic Sun Conference,ucasports.com,FOUND
University of Central Florida,NCAA D1,"Orlando,Florida",Public,Big 12 Conference,floridagators.com,FOUND
University of Cincinnati,NCAA D1,"Cincinnati,Ohio",Public,Big 12 Conference,gobearcats.com,FOUND
University of Colorado – Boulder,NCAA D1,"Boulder,Colorado",Public,Big 12 Conference,cubuffs.com,FOUND
University of Connecticut,NCAA D1,"Storrs,Connecticut",Public,Big East Conference,uconnhuskies.com,FOUND
University of Dayton,NCAA D1,"Dayton,Ohio",Private,Atlantic 10 Conference,daytonflyers.com,FOUND
University of Delaware,NCAA D1,"Newark,Delaware",Public,Conference USA,bluehens.com,FOUND
University of Denver,NCAA D1,"Denver,Colorado",Private,The Summit League,denverpioneers.com,FOUND
University of Evansville,NCAA D1,"Evansville,Indiana",Private,Missouri Valley Conference,gopurpleaces.com,FOUND
University of Florida,NCAA D1,"Gainesville,Florida",Public,Southeastern Conference,floridagators.com,FOUND
University of Georgia,NCAA D1,"Athens,Georgia",Public,Southeastern Conference,georgiadogs.com,FOUND
University of Hawaii at Manoa,NCAA D1,"Honolulu,Hawaii",Public,Mountain West Conference,hawaiiathletics.com,FOUND
University of Houston,NCAA D1,"Houston,Texas",Public,Big 12 Conference,uhcougars.com,FOUND
University of Idaho,NCAA D1,"Moscow,Idaho",Public,Big Sky Conference,govandals.com,FOUND
University of Illinois,NCAA D1,"Urbana,Illinois",Public,Big Ten,fightingillini.com,FOUND
University of Illinois at Chicago,NCAA D1,"Chicago,Illinois",Public,Missouri Valley Conference,fightingillini.com,FOUND
University of Iowa,NCAA D1,"Iowa City,Iowa",Public,Big Ten,hawkeyesports.com,FOUND
University of Kansas,NCAA D1,"Lawrence,Kansas",Public,Big 12 Conference,kuathletics.com,FOUND
University of Kentucky,NCAA D1,"Lexington,Kentucky",Public,Southeastern Conference,ekusports.com,FOUND
University of Louisiana,NCAA D1,"Lafayette,Louisiana",Public,Sun Belt Conference,ragincajuns.com,FOUND
University of Louisiana – Monroe,NCAA D1,"Monroe,Louisiana",Public,Sun Belt Conference,ragincajuns.com,FOUND
University of Louisville,NCAA D1,"Louisville,Kentucky",Public,Atlantic Coast Conference,gocards.com,FOUND
University of Maryland,NCAA D1,"College Park,Maryland",Public,Big Ten,umterps.com,FOUND
University of Maryland Eastern Shore,NCAA D1,"Princess Anne,Maryland",Public,Mid-Eastern Athletic Conference,umeshawksports.com,FOUND
University of Maryland – Baltimore County,NCAA D1,"Baltimore,Maryland",Public,America East Conference,umterps.com,FOUND
University of Memphis,NCAA D1,"Memphis,Tennessee",Public,American Athletic Conference,memphis.edu,FOUND
University of Miami,NCAA D1,"Coral Gables,Florida",Private,Atlantic Coast Conference,miamihurricanes.com,FOUND
University of Michigan,NCAA D1,"Ann Arbor,Michigan",Public,Big Ten,mgoblue.com,FOUND
University of Minnesota,NCAA D1,"Minneapolis,Minnesota",Public,Big Ten,gophersports.com,FOUND
University of Mississippi,NCAA D1,"University,Mississippi",Public,Southeastern Conference,hailstate.com,FOUND
University of Missouri,NCAA D1,"Columbia,Missouri",Public,Southeastern Conference,mutigers.com,FOUND
University of Missouri – Kansas City,NCAA D1,"Kansas City,Missouri",Public,The Summit League,mutigers.com,FOUND
University of Montana,NCAA D1,"Missoula,Montana",Public,Big Sky Conference,gogriz.com,FOUND
University of Nebraska,NCAA D1,"Lincoln,Nebraska",Public,Big Ten,huskers.com,FOUND
University of Nebraska at Omaha,NCAA D1,"Omaha,Nebraska",Public,The Summit League,omavs.com,FOUND
University of Nevada – Las Vegas,NCAA D1,"Las Vegas,Nevada",Public,Mountain West Conference,nevadawolfpack.com,FOUND
University of Nevada – Reno,NCAA D1,"Reno,Nevada",Public,Mountain West Conference,nevadawolfpack.com,FOUND
University of New Hampshire,NCAA D1,"Durham,New Hampshire",Public,Colonial Athletic Association,unhwildcats.com,FOUND
University of New Mexico,NCAA D1,"Albuquerque,New Mexico",Public,Mountain West Conference,golobos.com,FOUND
University of New Orleans,NCAA D1,"New Orleans,Louisiana",Public,Southland Conference,unoprivateers.com,FOUND
University of North Alabama,NCAA D1,"Florence,Alabama",Public,Atlantic Sun Conference,roarlions.com,FOUND
University of North Carolina Asheville,NCAA D1,"Asheville,North Carolina",Public,Big South Conference,uncabulldogs.com,FOUND
University of North Carolina at Chapel Hill,NCAA D1,"Chapel Hill,North Carolina",Public,Atlantic Coast Conference,goheels.com,FOUND
University of North Carolina at Charlotte,NCAA D1,"Charlotte,North Carolina",Public,American Athletic Conference,charlotte49ers.com,FOUND
University of North Carolina – Greensboro,NCAA D1,"Greensboro,North Carolina",Public,Southern Conference,goheels.com,FOUND
University of North Carolina – Wilmington,NCAA D1,"Wilmington,North Carolina",Public,Colonial Athletic Association,goheels.com,FOUND
University of North Dakota,NCAA D1,"Grand Forks,North Dakota",Public,summit league,fightinghawks.com,FOUND
University of North Florida,NCAA D1,"Jacksonville,Florida",Public,Atlantic Sun Conference,unfospreys.com,FOUND
University of North Texas,NCAA D1,"Denton,Texas",Public,American Athletic Conference,meangreensports.com,FOUND
University of Northern Colorado,NCAA D1,"Greeley,Colorado",Public,Big Sky Conference,uncbears.com,FOUND
University of Northern Iowa,NCAA D1,"Cedar Falls,Iowa",Public,Missouri Valley Conference,hawkeyesports.com,FOUND
University of Notre Dame,NCAA D1,"Notre Dame,Indiana",Private,Atlantic Coast Conference,fightingirish.com,FOUND
University of Oklahoma,NCAA D1,"Norman,Oklahoma",Public,Southeastern Conference,soonersports.com,FOUND
University of Oregon,NCAA D1,"Eugene,Oregon",Public,Big Ten,goducks.com,FOUND
University of Pennsylvania – Penn,NCAA D1,"Philadelphia,Pennsylvania",Private,Ivy League,pennathletics.com,FOUND
University of Pittsburgh,NCAA D1,"Pittsburgh,Pennsylvania",Public,Atlantic Coast Conference,pittsburghpanthers.com,FOUND
University of Portland,NCAA D1,"Portland,Oregon",Private,West Coast Conference,portlandpilots.com,FOUND
University of Rhode Island,NCAA D1,"Kingston,Rhode Island",Public,Colonial Athletic Association,gorhody.com,FOUND
University of San Diego,NCAA D1,"San Diego,California",Private,West Coast Conference,usdtoreros.com,FOUND
University of San Francisco,NCAA D1,"San Francisco,California",Private,West Coast Conference,usfdons.com,FOUND
University of South Alabama,NCAA D1,"Mobile,Alabama",Public,Sun Belt Conference,usajaguars.com,FOUND
University of South Carolina,NCAA D1,"Columbia,South Carolina",Public,Southeastern Conference,gamecocksonline.com,FOUND
University of South Carolina – Upstate,NCAA D1,"Spartanburg,South Carolina",Public,Big South Conference,gamecocksonline.com,FOUND
University of South Dakota,NCAA D1,"Vermillion,South Dakota",Public,The Summit League,goyotes.com,FOUND
University of South Florida,NCAA D1,"Tampa,Florida",Public,American Athletic Conference,gamecocksonline.com,FOUND
University of Southern California,NCAA D1,"Los Angeles,California",Private,Big Ten,usc.edu,FOUND
University of Southern Indiana,NCAA D1,"Evansville,Indiana",Public,Ohio Valley Conference,usiscreamingeagles.com,FOUND
University of Southern Mississippi,NCAA D1,"Hattiesburg,Mississippi",Public,Sun Belt Conference,usm.edu,FOUND
University of St. Thomas – Minnesota,NCAA D1,"Saint Paul,Minnesota",Private,The Summit League,tommiesports.com,FOUND
University of Tennessee,NCAA D1,"Knoxville,Tennessee",Public,Southeastern Conference,utsports.com,FOUND
University of Tennessee – Chattanooga,NCAA D1,"Chattanooga,Tennessee",Public,Southern Conference,utsports.com,FOUND
University of Tennessee – Martin,NCAA D1,"Martin,Tennessee",Public,Ohio Valley Conference,utsports.com,FOUND
University of Texas – Arlington,NCAA D1,"Arlington,Texas",Public,Western Athletic Conference,texaslonghorns.com,FOUND
University of Texas – Austin,NCAA D1,"Austin,Texas",Public,Southeastern Conference,texaslonghorns.com,FOUND
University of Texas – El Paso,NCAA D1,"El Paso,Texas",Public,Conference USA,texaslonghorns.com,FOUND
University of Texas – Rio Grande Valley,NCAA D1,"Edinburg,Texas",Public,Western Athletic Conference,texaslonghorns.com,FOUND
University of Texas – San Antonio,NCAA D1,"San Antonio,Texas",Public,American Athletic Conference,texaslonghorns.com,FOUND
University of Toledo,NCAA D1,"Toledo,Ohio",Public,Mid-American Conference,utrockets.com,FOUND
