school_name,division,city_state,type,conference
Butler County Community College Grizzly Bears,NJCAA D1,"El Dorado, Kansas",,
Cloud County Community College Thunderbirds/Lady Thunderbirds,NJCAA D1,"Concordia, Kansas",,
Coffeyville Community College Ravens,NJCAA D1,"Coffeyville, Kansas",,
Colby Community College Trojans,NJCAA D1,"Colby, Kansas",,
Cowley County Community College Tigers,NJCAA D1,"Arkansas City, Kansas",,
Dodge City Community College Conquistadors,NJCAA D1,"Dodge City, Kansas",,
Garden City Community College Broncbusters,NJCAA D1,"Garden City, Kansas",,
Hutchinson Community College Blue Dragons,NJCAA D1,"Hutchinson, Kansas",,
Independence Community College Pirates,NJCAA D1,"Independence, Kansas",,
Northwest Kansas Technical College Mavericks,NJCAA D1,"Goodland, Kansas",,
Pratt Community College Beavers,NJCAA D1,"Pratt, Kansas",,
Seward County Community College Saints,NJCAA D1,"Liberal, Kansas",,
Simmons College of Kentucky Falcons,NJCAA D1,"Louisville, Kentucky",,
Baton Rouge Community College Bears,NJCAA D1,"Baton Rouge, Louisiana",,
Bossier Parish Community College Cavaliers,NJCAA D1,"Bossier, Louisiana",,
Delgado Community College Dolphins,NJCAA D1,"New Orleans, Louisiana",,
Southern University at Shreveport Jaguars,NJCAA D1,"Shreveport, Louisiana",,
Louisiana State University at Eunice Bengals,NJCAA D1,"Eunice, Louisiana",,
Allegany College of Maryland Trojans,NJCAA D1,"Cumberland, Maryland",,
Carroll Community College Lynx,NJCAA D1,"Westminster, Maryland",,
Chesapeake College Skipjacks,NJCAA D1,"Wye Mills, Maryland",,
Garrett College Lakers,NJCAA D1,"McHenry, Maryland",,
Frederick Community College Cougars,NJCAA D1,"Frederick, Maryland",,
Hagerstown Community College Hawks,NJCAA D1,"Hagerstown, Maryland",,
Harford Community College Fighting Owls,NJCAA D1,"Bel Air, Maryland",,
Montgomery College Raptors,NJCAA D1,"Germantown, Maryland",,
Coahoma Community College Tigers,NJCAA D1,"Clarksdale, Mississippi",,
Copiah-Lincoln Community College Wolves,NJCAA D1,"Wesson, Mississippi",,
East Central Community College Warriors,NJCAA D1,"Decatur, Mississippi",,
East Mississippi Community College Lions,NJCAA D1,"Scooba, Mississippi",,
Hinds Community College Eagles,NJCAA D1,"Raymond, Mississippi",,
Holmes Community College Bulldogs,NJCAA D1,"Goodman, Mississippi",,
Itawamba Community College Indians,NJCAA D1,"Fulton, Mississippi",,
Jones County Junior College Bobcats,NJCAA D1,"Ellisville, Mississippi",,
Meridian Community College Eagles,NJCAA D1,"Meridian, Mississippi",,
Mississippi Delta Community College Trojans,NJCAA D1,"Moorhead, Mississippi",,
Mississippi Gulf Coast Community College Bulldogs,NJCAA D1,"Perkinston, Mississippi",,
Northeast Mississippi Community College Tigers,NJCAA D1,"Booneville, Mississippi",,
Northwest Mississippi Community College Rangers,NJCAA D1,"Senatobia, Mississippi",,
Pearl River Community College Wildcats,NJCAA D1,"Poplarville, Mississippi",,
Southwest Mississippi Community College Bears,NJCAA D1,"Summit, Mississippi",,
Crowder College Roughriders,NJCAA D1,"Neosho, Missouri",,
Mineral Area College Cardinals,NJCAA D1,"Park Hills, Missouri",,
Missouri State University-West Plains Grizzlies,NJCAA D1,"West Plains, Missouri",,
Moberly Area Community College Greyhounds,NJCAA D1,"Moberly, Missouri",,
State Fair Community College Roadrunners,NJCAA D1,"Sedalia, Missouri",,
Three Rivers Community College Raiders,NJCAA D1,"Poplar Bluff, Missouri",,
St. Charles Community College Cougars,NJCAA D1,"Saint Charles, Missouri",,
Dawson Community College Buccaneers,NJCAA D1,"Glendive, Montana",,
Little Big Horn College Rams,NJCAA D1,"Crow Agency, Montana",,
Miles Community College Pioneers,NJCAA D1,"Miles City, Montana",,
McCook Community College Indians,NJCAA D1,"McCook, Nebraska",,
North Platte Community College Knights,NJCAA D1,"North Platte, Nebraska",,
Northeast Community College Hawks,NJCAA D1,"Norfolk, Nebraska",,
Western Nebraska Community College Cougars,NJCAA D1,"Scotts Bluff, Nebraska",,
College of Southern Nevada Coyotes,NJCAA D1,"Henderson, Nevada",,
Western Nevada College Wildcats,NJCAA D1,"Carson City, Nevada",,
New Mexico Junior College Thunderbirds,NJCAA D1,"Hobbs, New Mexico",,
New Mexico Military Institute Broncos,NJCAA D1,"Roswell, New Mexico",,
Mesalands Community College Stampede,NJCAA D1,"Tucumcari, New Mexico",,
Monroe University Mustangs,NJCAA D1,"New Rochelle, New York",,
Brunswick Community College Dolphins,NJCAA D1,"Bolivia, North Carolina",,
Cape Fear Community College Sea Devils,NJCAA D1,"Wilmington, North Carolina",,
Guilford Technical Community College Titans,NJCAA D1,"Jamestown, North Carolina",,
Lenoir Community College Lancers,NJCAA D1,"Kinston, North Carolina",,
Louisburg College Hurricanes,NJCAA D1,"Louisburg, North Carolina",,
Pitt Community College Bulldogs,NJCAA D1,"Winterville, North Carolina",,
Roanoke-Chowan Community College Waves,NJCAA D1,"Ahoskie, North Carolina",,
Rockingham Community College Eagles,NJCAA D1,"Wentworth, North Carolina",,
Surry Community College Knights,NJCAA D1,"Dobson, North Carolina",,
Wake Technical Community College Eagles,NJCAA D1,"Raleigh, North Carolina",,
Wilkes Community College Cougars,NJCAA D1,"Wilkesboro, North Carolina",,
Gaston College Rhinos,NJCAA D1,"Dallas, North Carolina",,
Lake Region State College Royals,NJCAA D1,"Devils Lake, North Dakota",,
North Dakota State College of Science Wildcats,NJCAA D1,"Wahpeton, North Dakota",,
Williston State College Tetons,NJCAA D1,"Williston, North Dakota",,
Hocking College Eagles,NJCAA D1,"Nelsonville, Ohio",,
Carl Albert State College Vikings,NJCAA D1,"Poteau, Oklahoma",,
Connors State College Cowboys,NJCAA D1,"Warner, Oklahoma",,
Eastern Oklahoma State College Mountaineers,NJCAA D1,"Wilburton, Oklahoma",,
Murray State College Aggies,NJCAA D1,"Tishomingo, Oklahoma",,
Northeastern Oklahoma A&M College Golden Norseman,NJCAA D1,"Miami, Oklahoma",,
Northern Oklahoma College Enid Jets,NJCAA D1,"Enid, Oklahoma",,
Northern Oklahoma College-Tonkawa Mavericks,NJCAA D1,"Tonkawa, Oklahoma",,
Redlands Community College Cougars,NJCAA D1,"El Reno, Oklahoma",,
Seminole State College Trojans,NJCAA D1,"Seminole, Oklahoma",,
Western Oklahoma State College Pioneers,NJCAA D1,"Altus, Oklahoma",,
Lackawanna College Falcons,NJCAA D1,"Scranton, Pennsylvania",,
Aiken Technical College Knights,NJCAA D1,"Aiken, South Carolina",,
Clinton Junior College Golden Bears,NJCAA D1,"Rock Hill, South Carolina",,
Denmark Technical College Panthers,NJCAA D1,"Denmark, South Carolina",,
University of South Carolina Lancaster Lancers,NJCAA D1,"Lancaster, South Carolina",,
University of South Carolina Salkehatchie Indians,NJCAA D1,"Allendale, South Carolina",,
University of South Carolina Sumter Fire Ants,NJCAA D1,"Sumter, South Carolina",,
Chattanooga State Technical Community College Tigers,NJCAA D1,"Chattanooga, Tennessee",,
Cleveland State Community College Cougars,NJCAA D1,"Cleveland, Tennessee",,
